#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3T Program,42,City-wide,1,6000,,,,,,6000,,,,,,,,,,,,,,7000,
2,7th Cousins ,14,City-wide,1,7000,,,,,,,,,,,,,76754,,,,,,,,
3,519 Church Street Community Centre,27,City-wide,3,156144,22000,,,,,,,57390,,,,,,,,,,40000,,,
4,1652 Keele Street Community Alliance,12,Area Services,1,40000,,,,,,,,,,,,,,,,,,,,10000,
5,A Man Vanishes Collective,20,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,62000,
6,A Space Gallery,20,City-wide,2,78600,,,,,,,,,16600,,,,,,,,,,,,
7,Abrigo Centre,17,City-wide,1,103055,,,,,,,,103055,,,,,,,,,,,,,
8,Access Alliance Multicultural Health And Community Services,35,City-wide,2,68865,,,,,,,,57365,,11500,,,,,,,,,,38000,
9,Acting Up Stage Theatre Company,28,City-wide,1,38000,,,,,,,,,,,,,,,,,,,,7000,
10,adelheid dance projects,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,,
11,Afghan Women's Counselling and Integration Community Support Organization,26,City-wide,1,73200,,,,,,,,73200,,,,,,,,,,,,,
12,African Canadian Social Development Council,28,City-wide,1,34560,,,,,,,,34560,,,,,,,,,,,,8000,
13,African Women Acting,28,Local,1,8000,,,,,,,,,,,,,,,,,,,,,
14,Africans in Partnership Against AIDS,27,City-wide,1,100930,,,,,,,,100930,,,,,,,,,,,,4100,
15,Afrihili Cultural Association of Ontario,20,City-wide,1,4100,,,,,,,,,,,,,249157,,,,,,,,
16,Agincourt Community Services Association,41,Area services,3,439612,,,,47000,,,,143455,,,,,,,,,,,,15000,
17,Ahuri Theatre,17,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,13000,
18,Aiding Dramatic Change in Development,19,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,,
19,AIDS Committee Of Toronto,27,City-wide,1,67520,,,,,,,,67520,,,,,450000,,,,,,,,
20,Albion Neighbourhood Services,1,Area services,2,562730,,,,,,,,112730,,,,,,,,,,,,,
21,Alexander Park Community Centre,20,Area services,1,40000,,,,40000,,,,,,,,,,,,,,,,7000,
22,Alias Dance Projects,33,Local,1,7000,,,,,,,,,,,,,,,,,,,,5000,
23,Aisle 4,18,Local,1,5000,,,,,,,,,,,,,,,,,,,,7500,
24,Alliance Francaise de Toronto,20,City-wide,1,7500,,,,,,,,,,,,,,,,,,,,36000,
25,Aluna Theatre ,17,City-wide,1,36000,,,,,,,,,,,,,,,,,,,,25375,
26,Amadeus Choir of Greater Toronto,23,City-wide,1,25375,,,,,,,,,,,,,,,,,,,,18000,
27,Amici Chamber Ensemble,20,City-wide,1,18000,,,,,,,,,,,,,,,,,,,1965403,,
28,Angel Foundation for Learning,23,City-wide,1,1965403,,,,,,,,,,,,,,,,,,,,3000,
29,AnOther Theatre Company,27,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,6000,
30,ANTARES Publishing House of Spanish Culture,25,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,,
31,Aphasia Institute,25,City-wide,1,21900,,,,,,,,21900,,,,,,,,,,,,,
32,Arab Community Centre of Toronto (The),3,City-wide,1,38750,,,,,,,,38750,,,,,,,,,,,,,
33,ARCH Disability Law Centre,28,City-wide,1,31000,,,,,,,,31000,,,,,,,,,,,,2000,
34,Architect Theatre,18,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,,
35,"Armenian Relief Society Inc. -""Roubina"" Chapter",33,City-wide,1,21900,,,,,,,,21900,,,,,,,,,,,,10000,
36,Aradia Ensemble,20,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,58090,
37,Arraymusic,19,City-wide,1,58090,,,,,,,,,,,,,,,,,,,,7000,
38,Ars Mechanica,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,7000,
39,Art Bar Poetry Series,29,City-wide,1,7000,,,,,,,,,,,,,,,,626750,,,,,
40,Art Gallery of Ontario ,20,City-wide,1,626750,,,,,,,,,,,,,,,,,,,,67000,
41,Art Gallery of York University,8,City-wide,1,67000,,,,,,,,,,,,,,,,,,,,40000,
42,Art Metropole,18,City-wide,1,40000,,,,,,,,,,,,,,,,,,,,50000,
43,Art of Time Ensemble,20,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,65000,
44,Art Starts Neighbourhood Cultural Centre,16,Area services,2,90000,,,25000,,,,,,,,,,,,,,,,,15000,
45,Article 11  Performance Group,27,Local,1,15000,,,,,,,,,,,,,,,,,,,,23000,
46,Artists Film Exhibition Group,20,City-wide,1,23000,,,,,,,,,,,,,,50000,,,,30000,,30000,
47,ArtReach Toronto ,20,City-wide,3,110000,,,,,,,,,,,,,,,374805,,,,,,
48,Arts Etobicoke,5,City-wide,1,374805,,,,,,,,,,,,,,,,,,,,48000,
49,Arts For Children And Youth,20,Area services,3,111000,,,35000,,,28000,,,,,,,,,,,,,,15000,
50,Arts4All Creative Society,17,Local,1,15000,,,,,,,,,,,,,,,,,,,,50000,
51,Ashkenaz Foundation,20,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,12000,
52,Asian Arts Freedom School,18,City-wide,1,12000,,,,,,,,,,,,,,,,,,,,7900,
53,Asian Community AIDS Services,20,Local,2,34900,,,27000,,,,,,,,,,,,,,,,,,
54,Ascot Co-op,2,City-wide,1,11625,,,,,,,,,,11625,,,,,,,,,,,
55,Assaulted Women's Helpline,20,City-wide,1,57590,,,,,,,,57590,,,,,,,,,,,,3500,
56,Association of Music and Innocative Arts,21,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,,
57,AWIC Community and Social Services,33,City-wide,1,78515,,,,,,,,78515,,,,,,,,,,,,10000,
58,Axis Music Inc.,35,Local,1,10000,,,,,,,,,,,,,,,,,,,,27000,
59,b current,21,Local,1,27000,,,,,,,,,,,,,,,,,,,,8000,
60,B.I.G. Bloor Improvement Group,18,Local,1,8000,,,,,,,,,,,,,,,,,,,,13000,
61,Baby Steps Parenting,15,Local,1,13000,,,,,,,,,,,,,,,,,,,,25000,
62,Bach Children's Chorus of Scarborough,43,City-wide,1,25000,,,,,,,,,,,,,,,,,,,,9000,
63,Bad News Days Performing Arts,14,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,13000,
64,Bain Arts Collective,30,Local,1,13000,,,,,,,,,,,,,,,,,,,,23750,
65,Ballet Creole,20,City-wide,1,23750,,,,,,,,,,,,,,,,,,,,90000,
66,Ballet Jorgen Canada,27,City-wide,1,90000,,,,,,,,,,,,,,,,,,,,9500,
67,Baque de Bamba,18,City-wide,1,9500,,,,,,,,,,,,,,,,,,,,9000,
68,Barbra Schlifer Commemorative Clinic,19,Local,3,107255,48000,,,,,,,50255,,,,,,,,,,,,8000,
69,Barrier Free Media Alliance,20,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,,
70,Bathurst Finch Network,10,Area services,1,75000,,,,,,,75000,,,,,,,,,,,,,5000,
71,Batuki Music Society,28,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
72,Belka Enrichment Centre,8,City-wide,1,10000,,,,,,10000,,,,,,,,,,,,,,,
73,Bereaved Families of Ontario-Toronto,22,City-wide,1,66035,,,,,,,,66035,,,,,,,,,,,,,
74,Bernard Betel Centre for Creative Living,10,Area Services,1,120425,,,,,,,,120425,,,,,,,,,,,,,
75,Better Living Health and Community Services,25,Area Services,1,204470,,,,,,,,204470,,,,,,,,,,,,,
76,Birchmount Bluffs Neighbourhood Centre,36,Area Services,2,108120,,,,,,26000,,82120,,,,,,,,,,,,10000,
77,Birchmount Community Action Council,37,Local,1,10000,,,,,,,,,,,,,,,,,,,,,
78,Black Business Professional Association (BBP),20,City Wide,1,240000,,240000,,,,,,,,,,,,,,,,,,,
79,Bloor Information and Life Skills Centre,19,City-wide,1,34445,,,,,,,,34445,,,,,,,,,,,,6500,
80,Blue Ceiling Dance,13,City-wide,1,6500,,,,,,,,,,,,,,,,,,,,8000,
81,bluemounth inc. presents,18,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,,
82,Boost Child Abuse Prevention and Intervention,27,City-wide,1,256880,,,,,,,,256880,,,,,,,,,,,,7000,
83,BoucharDanze,17,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,,
84,Braeburn Neighbourhood Place,2,Area services,1,46825,,,,,,,,46825,,,,,,,,,,,,5000,
85,Broken Heals,18,Local,1,5000,,,,,,,,,,,,,,,,,,,,18000,
86,BUCC  N FLVR DANCE COMPANY,35,Local,1,18000,,,,,,,,,,,,,,,,,,,,143000,
87,Buddies In Bad Times Theatre,27,City-wide,1,143000,,,,,,,,,,,,,,,,,,,,10000,
88,Butcher's Block Productions,18,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,9000,
89,C-A-Mcorder Productions,17,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,,
90,Cabbagetown Youth Centre Inc,28,Area services,1,36525,,,,,,,,36525,,,,,,,,,,,,21000,
91,CADA-ON,28,City-wide,1,21000,,,,,,,,,,,,,,,,,,,,44000,
92,Cahoots Theatre Projects,28,City-wide,1,44000,,,,,,,,,,,,,,,,,,,,10000,
93,Cajuca Mas Arts Producers,37,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,15000,
94,Canada Clown,20,City-wide,1,15000,,,,,,,,,,,,,,,,161000,,,,,
95,Canada's National Ballet School ,27,City-wide,1,161000,,,,,,,,,,,,,,,,,,,,,
96,Canadian Centre for Victims of Torture,27,City-wide,1,25925,,,,,,,,25925,,,,,,,,,,,,22500,
97,Canadian Children's Opera Company,28,City-wide,1,22500,,,,,,,,,,,,,,,,,,,,55000,
98,Canadian Contemporary Dance Theatre,20,City-wide,1,55000,,,,,,,,,,,,,,,,,,,,5000,
99,Canadian Film in the Schools,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,51000,
100,Canadian Filmmakers Distribution Centre,20,City-wide,1,51000,,,,,,,,,,,,,,,,,,,,4000,
101,Canadian Gay and Lesbian Archives,27,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,,
102,Canadian Hearing Society,22,City-wide,1,17060,,,,,,,,17060,,,,,,,,,,,,3000,
